Trade Date,Entry Time,Exit Time,Direction,NIFTY Spot Entry,Selected Expiry,ATM Strike,Option Type,Option Trading Symbol,Entry Premium,Exit Premium,Lot Size,Number of Lots,Quantity,Gross P&L,Brokerage & Charges,Net P&L,Exit Reason,Signal Reason,Confidence Notes
2026-07-21,13:30:00,13:35:00,SHORT,24180.7,2026-08-11,24200,PE,NIFTY2681124200PE,275.0,271.0,65,10,650,2600.0,47.24,2552.76,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=19.9 atr=13.2 rr=1:2
2026-07-21,13:40:00,13:45:00,SHORT,24190.45,2026-08-11,24200,PE,NIFTY2681124200PE,273.05,269.05,65,10,650,2600.0,47.24,2552.76,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=21.5 atr=13.0 rr=1:2
2026-07-22,13:20:00,13:25:00,SHORT,23978.65,2026-08-11,24000,PE,NIFTY2681124000PE,285.0,281.0,65,10,650,2600.0,47.24,2552.76,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=34.5 atr=16.1 rr=1:2
2026-07-22,13:30:00,13:35:00,SHORT,23994.2,2026-08-11,24000,PE,NIFTY2681124000PE,274.9,270.9,65,10,650,2600.0,47.24,2552.76,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=31.3 atr=15.8 rr=1:2
2026-07-22,13:40:00,13:45:00,SHORT,23995.35,2026-08-11,24000,PE,NIFTY2681124000PE,274.75,270.75,65,10,650,2600.0,47.24,2552.76,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=24.5 atr=16.5 rr=1:2
2026-07-23,13:20:00,13:25:00,SHORT,23839.85,2026-08-11,23850,PE,NIFTY2681123850PE,271.2,267.2,65,10,650,2600.0,47.23,2552.77,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=48.9 atr=17.6 rr=1:2
2026-07-23,13:30:00,13:35:00,SHORT,23829.75,2026-08-11,23850,PE,NIFTY2681123850PE,271.8,266.45,65,10,650,3477.5,47.23,3430.27,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=55.3 atr=17.1 rr=1:2
2026-07-23,13:40:00,13:45:00,SHORT,23850.8,2026-08-11,23850,PE,NIFTY2681123850PE,261.15,254.38,65,10,650,4403.75,47.23,4356.52,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=54.6 atr=18.5 rr=1:2
2026-07-24,13:20:00,13:25:00,LONG,23791.05,2026-08-11,23800,CE,NIFTY2681123800CE,312.85,320.85,65,10,650,5200.0,47.24,5152.76,TARGET,EMA_BULLISH_CROSSOVER,adx=46.1 atr=20.0 rr=1:2
2026-07-24,13:30:00,13:35:00,LONG,23765.7,2026-08-11,23750,CE,NIFTY2681123750CE,327.5,335.5,65,10,650,5200.0,47.24,5152.76,TARGET,EMA_BULLISH_CROSSOVER,adx=46.5 atr=20.1 rr=1:2
2026-07-27,13:20:00,13:25:00,LONG,23972.2,2026-08-11,23950,CE,NIFTY2681123950CE,273.95,281.95,65,10,650,5200.0,47.24,5152.76,TARGET,EMA_BULLISH_CROSSOVER,adx=16.5 atr=13.1 rr=1:2
2026-07-27,13:30:00,13:35:00,LONG,23938.5,2026-08-11,23950,CE,NIFTY2681123950CE,256.4,264.4,65,10,650,5200.0,47.23,5152.77,TARGET,EMA_BULLISH_CROSSOVER,adx=15.6 atr=14.2 rr=1:2
2026-07-28,13:20:00,13:25:00,SHORT,23991.15,2026-08-11,24000,PE,NIFTY2681124000PE,194.0,190.0,65,10,650,2600.0,47.22,2552.78,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=12.9 atr=14.0 rr=1:2
2026-07-28,13:30:00,13:35:00,SHORT,23987.05,2026-08-11,24000,PE,NIFTY2681124000PE,197.4,193.4,65,10,650,2600.0,47.23,2552.77,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=16.8 atr=13.5 rr=1:2
2026-07-28,13:40:00,13:45:00,SHORT,23983.35,2026-08-11,24000,PE,NIFTY2681124000PE,202.6,198.6,65,10,650,2600.0,47.23,2552.77,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=20.3 atr=13.1 rr=1:2
2026-07-29,13:20:00,13:25:00,LONG,24246.5,2026-08-11,24250,CE,NIFTY2681124250CE,201.45,209.45,65,10,650,5200.0,47.23,5152.77,TARGET,EMA_BULLISH_CROSSOVER,adx=12.0 atr=12.8 rr=1:2
2026-07-29,13:30:00,13:35:00,LONG,24255.0,2026-08-11,24250,CE,NIFTY2681124250CE,206.0,216.0,65,10,650,6500.0,47.23,6452.77,TARGET,EMA_BULLISH_CROSSOVER,adx=13.4 atr=12.5 rr=1:2
2026-07-30,13:20:00,13:25:00,LONG,24279.35,2026-08-11,24300,CE,NIFTY2681124300CE,182.65,197.65,65,10,650,9750.0,47.22,9702.78,TARGET,EMA_BULLISH_CROSSOVER,adx=28.5 atr=17.9 rr=1:2
2026-07-31,13:20:00,13:25:00,LONG,24423.6,2026-08-11,24400,CE,NIFTY2681124400CE,190.05,198.1,65,10,650,5232.5,47.23,5185.27,TARGET,EMA_BULLISH_CROSSOVER,adx=49.4 atr=12.0 rr=1:2
2026-07-31,13:30:00,13:35:00,LONG,24398.8,2026-08-11,24400,CE,NIFTY2681124400CE,180.45,188.45,65,10,650,5200.0,47.22,5152.78,TARGET,EMA_BULLISH_CROSSOVER,adx=53.0 atr=13.1 rr=1:2
2026-08-03,13:20:00,13:25:00,LONG,24584.0,2026-08-11,24600,CE,NIFTY2681124600CE,148.3,156.3,65,10,650,5200.0,47.22,5152.78,TARGET,EMA_BULLISH_CROSSOVER,adx=20.0 atr=12.1 rr=1:2
2026-08-03,13:40:00,13:45:00,LONG,24596.1,2026-08-11,24600,CE,NIFTY2681124600CE,153.0,167.9,65,10,650,9685.0,47.22,9637.78,TARGET,EMA_BULLISH_CROSSOVER,adx=16.3 atr=12.6 rr=1:2
2026-08-04,13:20:00,13:25:00,SHORT,24491.8,2026-08-11,24500,PE,NIFTY2681124500PE,151.3,147.3,65,10,650,2600.0,47.22,2552.78,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=55.9 atr=14.3 rr=1:2
2026-08-04,13:30:00,13:35:00,SHORT,24463.7,2026-08-11,24450,PE,NIFTY2681124450PE,138.7,133.55,65,10,650,3347.5,47.22,3300.28,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=57.7 atr=15.0 rr=1:2
2026-08-04,13:40:00,13:45:00,SHORT,24453.65,2026-08-11,24450,PE,NIFTY2681124450PE,143.5,134.83,65,10,650,5638.75,47.22,5591.53,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=59.9 atr=15.1 rr=1:2
2026-08-05,13:20:00,13:25:00,SHORT,24524.45,2026-08-11,24500,PE,NIFTY2681124500PE,133.05,115.63,65,5,325,5663.12,47.21,5615.92,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=45.1 atr=18.8 rr=1:2
2026-08-05,13:30:00,13:35:00,SHORT,24519.05,2026-08-11,24500,PE,NIFTY2681124500PE,136.0,127.98,65,10,650,5216.25,47.22,5169.03,STOP_LOSS,EMA_BEARISH_CROSSOVER,adx=43.0 atr=18.7 rr=1:2
2026-08-06,14:20:00,14:25:00,LONG,24657.5,2026-08-11,24650,CE,NIFTY2681124650CE,153.5,161.65,65,10,650,5297.5,47.22,5250.28,TARGET,EMA_BULLISH_CROSSOVER,adx=12.7 atr=17.6 rr=1:2
2026-08-06,14:30:00,14:35:00,LONG,24649.3,2026-08-11,24650,CE,NIFTY2681124650CE,146.9,161.95,65,10,650,9782.5,47.22,9735.28,TARGET,EMA_BULLISH_CROSSOVER,adx=14.3 atr=17.7 rr=1:2
